,Country,White Shark (Y/N),Fatal (Y/N)
1247,USA,White Shark,N
1251,SCOTLAND,Other,N
1252,USA,Other,N
1253,BRAZIL,Other,N
1255,BAHAMAS,Other,N
1256,MEXICO,Other,N
1257,MEXICO,Other,Y
1259,AUSTRALIA,White Shark,N
1260,NEW CALEDONIA,Other,N
1263,MEXICO,Other,Y
1264,USA,Other,N
1266,NEW CALEDONIA,Other,N
1268,USA,White Shark,Y
1270,AUSTRALIA,Other,N
1274,USA,Other,N
1276,USA,Other,N
1278,AUSTRALIA,Other,Y
1281,USA,Other,N
1282,USA,Other,N
1283,USA,Other,N
1285,USA,Other,N
1286,USA,White Shark,N
1287,BAHAMAS,Other,Y
1290,AUSTRALIA,Other,N
1291,USA,Other,N
1293,SOUTH AFRICA,Other,N
1294,AUSTRALIA,Other,N
1296,NEW ZEALAND,Other,N
1297,USA,Other,N
1298,USA,Other,N
1299,MEXICO,Other,N
1300,ECUADOR,Other,N
1302,AUSTRALIA,Other,N
1303,AUSTRALIA,Other,N
1305,USA,Other,N
1307,BRAZIL,Other,N
1308,AUSTRALIA,Other,N
1310,SOUTH AFRICA,Other,N
1311,USA,Other,N
1312,USA,Other,N
1313,SOUTH AFRICA,White Shark,N
1315,USA,Other,N
1316,AUSTRALIA,White Shark,N
1317,AUSTRALIA,Other,N
1318,USA,Other,N
1319,USA,Other,N
1322,NEW CALEDONIA,Other,Y
1323,BAHAMAS,Other,N
1324,USA,White Shark,N
1325,EGYPT,White Shark,N
1327,USA,Other,N
1328,USA,Other,N
1329,SOLOMON ISLANDS,Other,N
1331,USA,Other,N
1332,USA,Other,N
1336,USA,Other,N
1337,USA,Other,N
1338,USA,Other,N
1339,USA,White Shark,N
1340,USA,Other,N
1341,USA,Other,N
1342,USA,Other,N
1343,USA,Other,N
1345,USA,Other,N
1347,USA,Other,N
1348,USA,Other,N
1352,USA,Other,N
1355,USA,White Shark,N
1356,USA,White Shark,N
1357,USA,Other,N
1358,AUSTRALIA,Other,N
1359,USA,Other,N
1360,NORWAY,Other,N
1362,USA,Other,N
1363,BAHAMAS,Other,N
1365,REUNION,Other,N
1367,USA,Other,N
1369,USA,Other,N
1370,USA,Other,N
1372,USA,Other,N
1375,USA,Other,N
1376,ENGLAND,Other,N
1377,AUSTRALIA,Other,N
1378,AUSTRALIA,Other,N
1379,USA,Other,N
1380,SEYCHELLES,White Shark,N
1382,USA,Other,N
1383,USA,Other,N
1385,BAHAMAS,Other,N
1386,AUSTRALIA,Other,N
1387,USA,Other,N
1388,USA,Other,N
1389,USA,Other,N
1390,NEW CALEDONIA,Other,N
1392,USA,Other,N
1395,USA,Other,N
1396,AUSTRALIA,Other,N
1397,USA,Other,N
1398,AUSTRALIA,Other,N
1400,NEW ZEALAND,Other,N
1404,NEW CALEDONIA,Other,N
1405,USA,Other,N
1406,AUSTRALIA,White Shark,N
1408,SOUTH AFRICA,Other,Y
1409,AUSTRALIA,Other,N
1411,USA,Other,N
1412,AUSTRALIA,Other,N
1413,NEW ZEALAND,Other,N
1414,USA,White Shark,N
1415,SOUTH AFRICA,Other,N
1416,AUSTRALIA,White Shark,N
1418,USA,Other,N
1419,SOUTH AFRICA,Other,N
1420,USA,White Shark,N
1423,USA,Other,N
1424,USA,Other,N
1429,USA,Other,N
1431,USA,Other,N
1432,USA,Other,N
1435,USA,Other,N
1437,SOUTH AFRICA,White Shark,N
1439,AUSTRALIA,Other,N
1445,SOUTH AFRICA,Other,N
1446,SOUTH AFRICA,White Shark,N
